titolo,tipologia,codice_cnel,data_stipula,pdf_link
Accordo integrativo al CCNL per i dipendenti del settore Metalmeccanica - Industria - Installazione impianti,Verbale integrativo,C05A,04/03/2026,https://static.cnel.it/archivio/2026/73feb1e0-dac7-4750-beb2-3503ca36b9b5/20984.pdf
CCNL del personale dell'area Presidenza del Consiglio dei Ministri relativo al triennio 2019-2021,Testo definitivo,S003,27/02/2026,https://static.cnel.it/archivio/2026/ef15e874-d477-41ac-9f49-43b69e447c4e/20975.pdf
CCNL dell'Area Sanità - triennio 2022-2024,Testo definitivo,S225,27/02/2026,https://static.cnel.it/archivio/2026/63cb7e1d-38d7-4fa6-a0d2-22c4f0569376/20976.pdf
Disposizioni specifiche per gli addetti all'industria olearia e margariniera del CCNL dell'industria alimentare,Verbale integrativo,E012,26/02/2026,https://static.cnel.it/archivio/2026/e35be9f1-0e10-46c4-8a47-339715695110/20985.pdf
CCNL relativo al personale del Comparto Funzioni Locali triennio 2022-2024,Testo definitivo,S105,23/02/2026,https://static.cnel.it/archivio/2026/6fcd38a4-5fa2-4522-8518-5fc19b63a507/20973.pdf
CCNL relativo al personale dell'area delle Funzioni Locali triennio 2022-2024,Testo definitivo,S125,23/02/2026,https://static.cnel.it/archivio/2026/b43985e6-9e71-479c-8eff-3d16bef6a79b/20974.pdf
"Accordo integrativo al CCNL sulla disciplina del rapporto di lavoro dei dipendenti del settore Estetica, Parrucchieri, Acconciatura",Accordo economico,H52D,16/02/2026,https://static.cnel.it/archivio/2026/fbe6c694-0f69-4078-b589-1f50da1d4fd7/20959.pdf
"CCNL Estetica, Parrucchieri, Acconciatura - Testo coordinato con le modifiche introdotte dall'accordo integrativo del 16/02/2026",Testo definitivo,H52D,16/02/2026,https://static.cnel.it/archivio/2026/de6bb1a2-141b-4d64-b90e-2aa915f8850b/20960.pdf
CCNL per i lavoratori delle imprese radiofoniche e televisive locali,Testo definitivo,G099,16/02/2026,https://static.cnel.it/archivio/2026/a4c971fe-1e52-4ad0-b5ea-4a404a1c3147/20963.pdf
"Accordo di rinnovo del CCNL 31 maggio 2023 per i dirigenti delle imprese di logistica, magazzini generali, terminal operators portuali, interportuali ed aeroportuali",Accordo di rinnovo,I241,16/02/2026,https://static.cnel.it/archivio/2026/18e881b0-3bea-4450-b351-0cfee303084c/20969.pdf
"Verbale integrativo al CCNL Commercio, Terziario e Servizi",Accordo economico,H02X,11/02/2026,https://static.cnel.it/archivio/2026/3e5c6ae2-7dc7-4449-b9b3-9ef2fcfbe966/20957.pdf
CCNL Multiservizi - modifiche contrattuali,Verbale integrativo,K578,10/02/2026,https://static.cnel.it/archivio/2026/9baeb8e1-bd06-46a7-8020-93a283814ae5/20967.pdf
Accordo integrativo e di rinnovo al CCNL per i dipendenti delle Aziende Artigiane del Settore Pelletteria,Accordo di rinnovo,D11A,03/02/2026,https://static.cnel.it/archivio/2026/7507b229-04eb-49cd-88f2-b7daa11cdf7a/20948.pdf
CCNL per i dipendenti delle Aziende Artigiane del Settore Pelletteria - Testo coordinato con le modifiche introdotte dall'accordo integrativo e di rinnovo del 03/02/2026,Testo definitivo,D11A,03/02/2026,https://static.cnel.it/archivio/2026/47a4e00f-8c9d-4d62-83fc-6c4e143f04bd/20949.pdf
Accordo di rinnovo del CCNL per le aziende metalmeccaniche private e di installazione impianti,Accordo di rinnovo,C058,02/02/2026,https://static.cnel.it/archivio/2026/4e967ac1-3239-4ada-831e-5ca835b4d034/20943.pdf
CCNL per le aziende metalmeccaniche private e di installazione impianti - Testo coordinato con le modifiche introdotte dall'accordo di rinnovo del 02/02/2026,Testo definitivo,C058,02/02/2026,https://static.cnel.it/archivio/2026/db66c2a6-9ff9-4e4e-b3a4-924522e8204e/20944.pdf
CCNL per i dipendenti da Aziende esercenti attività dell'Artigianato e Piccole e Medie Industrie,Accordo di rinnovo,V167,01/02/2026,https://static.cnel.it/archivio/2026/9a83aefb-07bb-4851-8b20-ef37ed299ffc/20946.pdf
"CCNL per il personale dipendente, quadri, dirigenti e ricercatori, delle aziende e delle organizzazioni operanti nel comparto socio-sanitario-assistenziale-educativo e delle imprese sociali nel settore privato, sotto qualsiasi forma giuridica costituite compresa la forma cooperativa, nonché di tutte le altre istituzioni di assistenza e beneficenza",Testo definitivo,T144,31/01/2026,https://static.cnel.it/archivio/2026/fe10f03d-ad3f-430c-b850-dd8116cdcabc/20956.pdf
Verbale di accordo per la definizione del contributo complessivo al sistema di bilateralità,Verbale integrativo,E071,28/01/2026,https://static.cnel.it/archivio/2026/cf475a18-6a1b-4261-bf4a-fa690cdb0500/20940.pdf
"Accordo integrativo del CCNL per i lavoratori ed impiegati delle imprese operanti nel settore dei servizi di pulizia, multiservizi e attività affini",Verbale integrativo,K51F,28/01/2026,https://static.cnel.it/archivio/2026/564c7799-1be5-4bf8-8669-c13131ca6e56/20945.pdf
